customer_id,num_of_accts_in_same_bank,num_of_accts_in_different_bank,total_liabilities,payment_delays,total_authorized_limit,total_balance,credit_risk_score
128340000,2,0,0,1,631378,779974,652
128340001,1,2,1700838,0,937274,344059,777
128340002,1,2,745962,0,453228,706909,619
128340003,1,1,1572180,1,459335,347791,689
128340004,1,1,353530,1,718847,316058,736
128340005,1,2,686518,1,531125,766529,644
128340006,1,0,0,0,986049,461441,698
128340007,2,0,0,1,584026,474278,637
128340011,2,1,848015,0,499724,603379,819
128340012,1,2,213681,1,728133,598363,847
128340014,2,1,475727,1,917590,438804,813
128340015,1,0,0,1,965477,474383,773
128340016,1,1,1812551,1,671147,544678,846
128340018,2,0,0,0,774803,559968,653
128340019,2,1,298763,1,205642,767122,695
128340020,2,1,1455989,1,103409,568627,741
128340021,2,1,1782257,1,381867,634274,826
128340022,3,2,1911966,1,207281,499900,842
128340025,1,1,1569296,0,253351,435498,686
128340026,1,1,190811,0,766645,374744,821
128340028,1,2,1155809,1,771685,758729,738
128340029,1,0,0,0,243929,762274,656
128340030,1,0,0,0,892632,325545,794
128340032,1,1,1656260,0,391206,740851,741
128340033,2,0,0,1,117452,428890,722
128340034,1,2,1394960,0,335018,553419,695
128340035,1,0,0,0,524904,687271,613
128340036,1,0,0,1,628352,433857,749
128340038,2,0,0,0,996146,632702,801
128340039,2,0,0,0,933932,323292,778
128340040,1,2,479514,0,835132,620273,648
128340041,2,2,510579,1,581809,677431,647
128340042,1,1,1429195,1,451168,749908,765
128340043,2,2,1937353,0,587499,500848,836
128340044,1,2,679779,1,543727,480954,764
128340045,1,0,0,1,880029,504712,769
128340048,2,0,0,0,932657,628428,808
128340049,1,0,0,1,949782,564702,798
128340050,2,1,1571912,0,639623,414567,741
128340051,2,0,0,1,593130,718148,685
128340052,1,0,0,0,602913,368783,770
128340053,2,2,899521,0,678832,651124,622
128340054,1,0,0,1,423789,659789,708
128340055,1,0,0,0,218574,690189,722
128340056,1,1,1809799,0,255496,752510,846
128340057,2,1,1614290,0,831722,559937,754
128340059,1,0,0,1,972782,646259,818
128340060,3,2,1228792,1,225017,506120,846
128340061,2,1,150628,1,205698,590536,768
128340063,2,0,0,0,227162,736478,640
128340064,1,0,0,1,580610,322791,765
128340065,1,1,892538,1,131233,617251,743
128340066,2,0,0,0,345341,532608,660
128340067,1,1,1831956,1,455737,465559,843
128340068,1,2,1301366,0,179444,378409,615
