customer_id,ref_no,purpose,gender,region,education,age,location,account_date_opened,marital_status,branch_code,religion,salaried
128340000,685302000,ENH,MALE,E,SECONDARY,65,RURAL,42462,1,IDBI_54,Hindu,1
128340001,685302001,NEW,FEMALE,E,GRADUATE,44,RURAL,39170,0,IDBI_89,Hindu,1
128340002,685302002,ENH,FEMALE,E,NONE,48,RURAL,38418,1,IDBI_89,Muslim,0
128340003,685302003,NEW,MALE,E,NONE,61,RURAL,41834,1,IDBI_50,Hindu,0
128340004,685302004,ENH,MALE,W,0,29,URBAN,39074,0,IDBI_84,Hindu,0
128340005,685302005,ENH,MALE,N,PRIMARY,44,URBAN,39366,1,IDBI_84,Muslim,0
128340006,685302006,NEW,FEMALE,E,PRIMARY,65,URBAN,41060,1,IDBI_3,Hindu,0
128340007,685302007,ENH,FEMALE,W,GRADUATE,48,URBAN,41333,1,IDBI_3,Hindu,1
128340008,685302008,NEW,MALE,S,GRADUATE,28,URBAN,42980,1,IDBI_36,Hindu,0
128340009,685302009,NEW,MALE,E,PRIMARY,33,URBAN,42895,1,IDBI_36,Hindu,0
128340010,685302010,NEW,MALE,N,NONE,60,URBAN,43130,0,IDBI_94,Hindu,1
128340011,685302011,ENH,MALE,W,0,51,URBAN,38407,0,IDBI_94,Muslim,1
128340012,685302012,NEW,FEMALE,N,SECONDARY,51,RURAL,38281,1,IDBI_73,Hindu,0
128340013,685302013,NEW,FEMALE,E,GRADUATE,60,RURAL,43227,1,IDBI_73,Hindu,0
128340014,685302014,NEW,FEMALE,S,NONE,66,RURAL,42624,1,IDBI_97,Hindu,1
128340015,685302015,NEW,FEMALE,N,GRADUATE,59,RURAL,40148,1,IDBI_97,Hindu,1
128340016,685302016,NEW,MALE,N,NONE,46,RURAL,40011,1,IDBI_81,Hindu,1
128340017,685302017,ENH,MALE,W,NONE,55,RURAL,43366,0,IDBI_87,Hindu,0
128340018,685302018,ENH,FEMALE,S,PRIMARY,59,RURAL,40353,0,IDBI_87,Hindu,1
128340019,685302019,ENH,FEMALE,W,GRADUATE,45,URBAN,39934,0,IDBI_94,Hindu,1
128340020,685302020,NEW,MALE,N,0,30,RURAL,42210,0,IDBI_100,Hindu,1
128340021,685302021,ENH,FEMALE,S,PRIMARY,43,RURAL,38137,0,IDBI_10,Muslim,0
